date,brand,count,failures
2023-04-11,Western Digital,25572,1
2023-04-09,Western Digital,25566,2
2023-04-08,Western Digital,25566,0
2023-03-18,Western Digital,25569,0
2023-03-15,Western Digital,25569,0
2023-03-14,Western Digital,25569,0
2023-03-16,Western Digital,25569,0
2023-03-22,Western Digital,25568,0
2023-03-29,Western Digital,25568,0
2023-03-12,Western Digital,25569,0
2023-03-11,Western Digital,25568,0
2023-03-13,Western Digital,25569,0
2023-03-07,Western Digital,25569,0
2023-03-17,Western Digital,25569,0
2023-03-04,Western Digital,25569,0
2023-03-05,Western Digital,25569,0
2023-03-03,Western Digital,25570,1
2023-03-02,Western Digital,25569,0
2023-03-25,Western Digital,25569,0
2023-03-31,Western Digital,25568,0
2023-02-28,Western Digital,25567,0
2023-02-27,Western Digital,25568,1
2023-03-27,Western Digital,25568,0
2023-03-09,Western Digital,25568,1
2023-03-30,Western Digital,25568,1
2023-03-23,Western Digital,25568,0
2023-02-26,Western Digital,25568,0
2023-03-10,Western Digital,25568,0
2023-03-01,Western Digital,25567,0
2023-03-26,Western Digital,25569,1
2023-03-08,Western Digital,25569,1
2023-03-06,Western Digital,25569,0
2023-03-24,Western Digital,25569,0
2023-03-28,Western Digital,25567,0
2023-02-25,Western Digital,25568,0
2023-03-21,Western Digital,25508,0
2023-02-19,Western Digital,24368,0
2023-02-17,Western Digital,24366,1
2023-02-22,Western Digital,24368,0
2023-02-16,Western Digital,24366,0
2023-02-18,Western Digital,24368,0
2023-02-20,Western Digital,24368,0
2023-02-21,Western Digital,24368,0
2023-02-24,Western Digital,24368,0
2023-02-23,Western Digital,24368,0
2023-02-15,Western Digital,24366,0
2023-03-20,Western Digital,25265,1
2023-02-14,Western Digital,23466,0
2023-02-13,Western Digital,23466,0
2023-02-12,Western Digital,23466,0
2023-02-11,Western Digital,23446,0
2023-02-07,Western Digital,23446,0
2023-02-10,Western Digital,23446,0
2023-02-09,Western Digital,23446,0
2023-02-08,Western Digital,23446,0
2023-02-04,Western Digital,23448,1
2023-02-06,Western Digital,23447,1
2023-01-31,Western Digital,23450,0
2023-02-03,Western Digital,23448,1
2023-02-02,Western Digital,23448,0
2023-01-24,Western Digital,23451,1
2023-02-05,Western Digital,23447,0
2023-01-26,Western Digital,23452,2
2023-01-25,Western Digital,23450,0
2023-02-01,Western Digital,23450,1
2023-01-27,Western Digital,23450,2
2023-01-23,Western Digital,23451,1
2023-01-21,Western Digital,23451,0
2023-01-20,Western Digital,23451,0
2023-01-22,Western Digital,23451,0
2023-01-30,Western Digital,23450,0
2023-01-28,Western Digital,23450,0
2023-01-29,Western Digital,23450,0
2023-01-19,Western Digital,23451,0
2023-01-14,Western Digital,22252,0
2023-01-16,Western Digital,22252,0
2023-01-15,Western Digital,22252,0
2023-01-18,Western Digital,22252,0
2023-01-11,Western Digital,22253,1
2023-01-13,Western Digital,22252,0
2023-01-12,Western Digital,22252,1
2023-01-17,Western Digital,22252,0
2023-01-10,Western Digital,22256,2
2023-01-08,Western Digital,22256,0
2023-01-07,Western Digital,22256,0
2023-01-09,Western Digital,22256,0
2023-01-06,Western Digital,22255,0
2022-12-31,Western Digital,22255,0
2023-01-01,Western Digital,22255,0
2022-12-19,Western Digital,22253,0
2022-12-26,Western Digital,22255,0
2022-12-25,Western Digital,22255,0
2023-01-02,Western Digital,22255,0
2022-12-23,Western Digital,22255,0
2022-12-20,Western Digital,22253,0
2022-12-16,Western Digital,22253,0
2022-12-11,Western Digital,44502,0
2022-12-13,Western Digital,22251,0
2022-12-17,Western Digital,22254,1
2022-12-06,Western Digital,22250,0
2022-12-14,Western Digital,22251,0
2022-12-12,Western Digital,22251,0
2022-12-18,Western Digital,22253,0
2022-12-09,Western Digital,22250,0
2022-12-30,Western Digital,22255,0
2022-12-21,Western Digital,22254,0
2022-12-29,Western Digital,22255,0
2022-12-05,Western Digital,22250,0
2023-01-03,Western Digital,22229,0
2022-12-22,Western Digital,22254,0
2022-12-28,Western Digital,22255,0
2023-01-05,Western Digital,22255,0
2022-12-04,Western Digital,22250,0
2022-12-24,Western Digital,22255,0
2022-12-15,Western Digital,22251,0
2023-01-04,Western Digital,22255,0
2022-12-27,Western Digital,22255,1
2022-12-07,Western Digital,22250,0
2022-12-08,Western Digital,22250,0
2022-12-03,Western Digital,22250,0
2022-11-22,Western Digital,21106,0
2022-11-23,Western Digital,21107,0
2022-11-24,Western Digital,21107,0
2022-11-21,Western Digital,21106,0
2022-11-20,Western Digital,21106,1
2022-11-25,Western Digital,21107,0
2022-11-26,Western Digital,21107,0
2022-11-19,Western Digital,21107,1
2022-11-28,Western Digital,21107,0
2022-12-02,Western Digital,21110,0
2022-11-30,Western Digital,21107,0
2022-11-27,Western Digital,21107,0
2022-12-01,Western Digital,21110,0
2022-11-29,Western Digital,21107,0
2022-11-18,Western Digital,21107,0
2022-11-03,Western Digital,21047,2
2022-11-17,Western Digital,19908,1
2022-11-15,Western Digital,19907,1
2022-11-16,Western Digital,19906,0
2022-11-11,Western Digital,19907,0
2022-11-14,Western Digital,19907,0
2022-11-12,Western Digital,19907,0
2022-11-10,Western Digital,19907,0
2022-11-08,Western Digital,19907,0
2022-11-07,Western Digital,19907,0
2022-11-13,Western Digital,19907,0
2022-11-05,Western Digital,19907,0
2022-11-09,Western Digital,19907,0
2022-11-06,Western Digital,19907,0
2022-10-29,Western Digital,19847,0
2022-11-04,Western Digital,19906,0
2022-11-02,Western Digital,19847,0
2022-11-01,Western Digital,19847,0
2022-10-31,Western Digital,19847,0
2022-10-30,Western Digital,19847,0
2022-10-28,Western Digital,19846,0
2022-10-27,Western Digital,19846,0
2022-10-26,Western Digital,19846,0
2022-10-24,Western Digital,19846,1
2022-10-25,Western Digital,19845,0
2022-10-21,Western Digital,19846,0
2022-10-19,Western Digital,19846,0
2022-10-20,Western Digital,19846,0
2022-10-15,Western Digital,19846,0
2022-10-18,Western Digital,19846,0
2022-10-22,Western Digital,19846,0
2022-10-17,Western Digital,19846,1
2022-10-23,Western Digital,19846,0
2022-10-16,Western Digital,19846,0
2022-10-14,Western Digital,19846,0
2022-10-10,Western Digital,18647,0
2022-10-11,Western Digital,18647,0
2022-10-12,Western Digital,18647,0
2022-10-08,Western Digital,18647,0
2022-10-09,Western Digital,18647,0
2022-10-05,Western Digital,18587,0
2022-10-07,Western Digital,18587,0
2022-10-13,Western Digital,18646,0
2022-10-06,Western Digital,18587,0
2022-10-01,Western Digital,18589,1
2022-10-02,Western Digital,18562,0
2022-10-04,Western Digital,18561,0
2022-10-03,Western Digital,18562,1
2022-09-30,Western Digital,18589,0
2022-09-29,Western Digital,17369,2
2022-09-28,Western Digital,17349,0
2022-09-27,Western Digital,17349,0
2022-09-26,Western Digital,17349,0
2022-09-23,Western Digital,17349,0
2022-09-25,Western Digital,17349,0
2022-09-21,Western Digital,17348,1
2022-09-20,Western Digital,17348,0
2022-09-19,Western Digital,17347,0
2022-09-24,Western Digital,17349,0
2022-09-17,Western Digital,17348,0
2022-09-18,Western Digital,17348,1
2022-09-15,Western Digital,17348,0
2022-09-16,Western Digital,17348,0
2022-09-22,Western Digital,17348,0
2022-09-14,Western Digital,17348,0
2022-09-11,Western Digital,17348,0
2022-08-31,Western Digital,17407,0
2022-09-02,Western Digital,17408,1
2022-09-10,Western Digital,17349,1
2022-09-13,Western Digital,17348,0
2022-09-09,Western Digital,17348,0
2022-09-12,Western Digital,17348,0
2022-09-01,Western Digital,17408,0
2022-08-26,Western Digital,17407,0
2022-08-25,Western Digital,16207,0
2022-08-20,Western Digital,16206,2
2022-08-21,Western Digital,16204,0
2022-08-19,Western Digital,16206,0
2022-08-22,Western Digital,16207,0
2022-08-23,Western Digital,16207,0
2022-08-24,Western Digital,16207,0
2022-08-18,Western Digital,16206,0
2022-08-17,Western Digital,16206,0
2022-08-16,Western Digital,16206,0
2022-09-07,Western Digital,15009,0
2022-09-06,Western Digital,15009,0
2022-09-04,Western Digital,15008,0
2022-09-05,Western Digital,15009,0
2022-09-03,Western Digital,15008,0
2022-08-15,Western Digital,15005,0
2022-09-08,Western Digital,14949,0
2022-08-29,Western Digital,15007,0
2022-08-14,Western Digital,15005,0
2022-08-28,Western Digital,15007,0
2022-08-27,Western Digital,15007,0
2022-08-30,Western Digital,15007,0
2022-08-13,Western Digital,15006,1
2022-08-12,Western Digital,13806,0
