date,brand,count,failures
2023-04-11,Toshiba,55777,4
2023-04-09,Toshiba,55778,1
2023-04-08,Toshiba,55782,7
2023-03-18,Toshiba,55762,1
2023-03-15,Toshiba,55761,3
2023-03-14,Toshiba,55761,1
2023-03-16,Toshiba,55763,0
2023-03-22,Toshiba,55760,3
2023-03-29,Toshiba,55781,1
2023-03-12,Toshiba,55752,0
2023-03-11,Toshiba,55751,0
2023-03-13,Toshiba,55753,1
2023-03-07,Toshiba,55756,1
2023-03-17,Toshiba,55761,1
2023-03-04,Toshiba,55753,1
2023-03-05,Toshiba,55750,2
2023-03-03,Toshiba,55756,3
2023-03-02,Toshiba,55758,2
2023-03-25,Toshiba,55776,0
2023-03-31,Toshiba,55786,0
2023-02-28,Toshiba,55760,1
2023-02-27,Toshiba,55760,3
2023-03-27,Toshiba,55755,4
2023-03-09,Toshiba,55754,2
2023-03-30,Toshiba,55786,1
2023-03-23,Toshiba,55758,6
2023-02-26,Toshiba,55754,0
2023-03-10,Toshiba,55749,0
2023-03-01,Toshiba,55759,3
2023-03-26,Toshiba,55752,4
2023-03-08,Toshiba,55756,1
2023-03-06,Toshiba,55751,0
2023-03-24,Toshiba,55763,1
2023-03-28,Toshiba,55753,2
2023-02-25,Toshiba,55757,3
2023-03-21,Toshiba,55703,3
2023-02-19,Toshiba,55762,1
2023-02-17,Toshiba,55763,1
2023-02-22,Toshiba,55756,5
2023-02-16,Toshiba,55761,2
2023-02-18,Toshiba,55763,0
2023-02-20,Toshiba,55759,1
2023-02-21,Toshiba,55757,2
2023-02-24,Toshiba,55750,1
2023-02-23,Toshiba,55754,0
2023-02-15,Toshiba,55760,1
2023-03-20,Toshiba,55343,0
2023-02-14,Toshiba,55462,0
2023-02-13,Toshiba,55461,2
2023-02-12,Toshiba,55458,2
2023-02-11,Toshiba,55463,3
2023-02-07,Toshiba,55462,2
2023-02-10,Toshiba,55453,3
2023-02-09,Toshiba,55459,3
2023-02-08,Toshiba,55464,3
2023-02-04,Toshiba,55458,1
2023-02-06,Toshiba,55453,0
2023-01-31,Toshiba,55462,0
2023-02-03,Toshiba,55458,1
2023-02-02,Toshiba,55457,0
2023-01-24,Toshiba,55461,3
2023-02-05,Toshiba,55456,0
2023-01-26,Toshiba,55453,1
2023-01-25,Toshiba,55457,1
2023-02-01,Toshiba,55462,6
2023-01-27,Toshiba,55448,2
2023-01-23,Toshiba,55447,1
2023-01-21,Toshiba,55444,3
2023-01-20,Toshiba,55439,0
2023-01-22,Toshiba,55441,0
2023-01-30,Toshiba,55398,1
2023-01-28,Toshiba,55454,1
2023-01-29,Toshiba,55453,0
2023-01-19,Toshiba,55434,1
2023-01-14,Toshiba,55448,2
2023-01-16,Toshiba,55442,0
2023-01-15,Toshiba,55446,0
2023-01-18,Toshiba,55439,0
2023-01-11,Toshiba,55452,3
2023-01-13,Toshiba,55448,5
2023-01-12,Toshiba,55450,3
2023-01-17,Toshiba,55440,3
2023-01-10,Toshiba,55452,2
2023-01-08,Toshiba,54308,0
2023-01-07,Toshiba,54310,1
2023-01-09,Toshiba,54308,2
2023-01-06,Toshiba,54309,3
2022-12-31,Toshiba,54319,0
2023-01-01,Toshiba,54316,0
2022-12-19,Toshiba,54323,1
2022-12-26,Toshiba,54321,2
2022-12-25,Toshiba,54321,2
2023-01-02,Toshiba,54312,0
2022-12-23,Toshiba,54320,0
2022-12-20,Toshiba,54323,2
2022-12-16,Toshiba,54319,1
2022-12-11,Toshiba,108646,1
2022-12-13,Toshiba,54324,4
2022-12-17,Toshiba,54323,3
2022-12-06,Toshiba,54326,1
2022-12-14,Toshiba,54318,3
2022-12-12,Toshiba,54321,3
2022-12-18,Toshiba,54320,1
2022-12-09,Toshiba,54321,2
2022-12-30,Toshiba,54317,0
2022-12-21,Toshiba,54315,3
2022-12-29,Toshiba,54320,0
2022-12-05,Toshiba,54323,1
2023-01-03,Toshiba,54310,2
2022-12-22,Toshiba,54317,0
2022-12-28,Toshiba,54319,0
2023-01-05,Toshiba,54305,3
2022-12-04,Toshiba,54311,0
2022-12-24,Toshiba,54322,0
2022-12-15,Toshiba,54319,1
2023-01-04,Toshiba,54308,1
2022-12-27,Toshiba,54319,0
2022-12-07,Toshiba,54293,0
2022-12-08,Toshiba,54324,1
2022-12-03,Toshiba,54311,1
2022-11-22,Toshiba,54333,0
2022-11-23,Toshiba,54332,1
2022-11-24,Toshiba,54331,0
2022-11-21,Toshiba,54333,1
2022-11-20,Toshiba,54333,0
2022-11-25,Toshiba,54327,0
2022-11-26,Toshiba,54327,4
2022-11-19,Toshiba,54333,3
2022-11-28,Toshiba,54325,1
2022-12-02,Toshiba,54318,2
2022-11-30,Toshiba,54319,0
2022-11-27,Toshiba,54327,0
2022-12-01,Toshiba,54297,0
2022-11-29,Toshiba,54327,4
2022-11-18,Toshiba,54332,0
2022-11-03,Toshiba,53819,0
2022-11-17,Toshiba,54333,0
2022-11-15,Toshiba,54334,1
2022-11-16,Toshiba,54330,1
2022-11-11,Toshiba,54335,2
2022-11-14,Toshiba,54333,1
2022-11-12,Toshiba,54334,1
2022-11-10,Toshiba,54334,1
2022-11-08,Toshiba,54335,1
2022-11-07,Toshiba,54334,3
2022-11-13,Toshiba,54333,1
2022-11-05,Toshiba,54336,3
2022-11-09,Toshiba,54335,2
2022-11-06,Toshiba,54335,0
2022-10-29,Toshiba,53819,2
2022-11-04,Toshiba,53818,4
2022-11-02,Toshiba,53820,3
2022-11-01,Toshiba,53820,0
2022-10-31,Toshiba,53819,0
2022-10-30,Toshiba,53818,0
2022-10-28,Toshiba,53821,2
2022-10-27,Toshiba,53822,1
2022-10-26,Toshiba,53819,0
2022-10-24,Toshiba,53300,1
2022-10-25,Toshiba,53301,0
2022-10-21,Toshiba,53300,2
2022-10-19,Toshiba,53300,2
2022-10-20,Toshiba,53299,4
2022-10-15,Toshiba,53300,1
2022-10-18,Toshiba,53300,3
2022-10-22,Toshiba,53299,1
2022-10-17,Toshiba,53301,3
2022-10-23,Toshiba,53299,0
2022-10-16,Toshiba,53299,2
2022-10-14,Toshiba,53296,4
2022-10-10,Toshiba,53301,1
2022-10-11,Toshiba,53301,4
2022-10-12,Toshiba,53300,4
2022-10-08,Toshiba,53304,3
2022-10-09,Toshiba,53302,1
2022-10-05,Toshiba,53306,5
2022-10-07,Toshiba,53303,0
2022-10-13,Toshiba,53301,1
2022-10-06,Toshiba,53303,2
2022-10-01,Toshiba,53304,0
2022-10-02,Toshiba,53305,2
2022-10-04,Toshiba,53305,1
2022-10-03,Toshiba,53302,1
2022-09-30,Toshiba,53304,0
2022-09-29,Toshiba,53300,1
2022-09-28,Toshiba,52699,3
2022-09-27,Toshiba,52701,3
2022-09-26,Toshiba,52699,0
2022-09-23,Toshiba,52701,3
2022-09-25,Toshiba,52700,0
2022-09-21,Toshiba,52700,3
2022-09-20,Toshiba,52698,3
2022-09-19,Toshiba,52699,2
2022-09-24,Toshiba,52700,1
2022-09-17,Toshiba,52701,3
2022-09-18,Toshiba,52669,3
2022-09-15,Toshiba,52701,1
2022-09-16,Toshiba,52701,1
2022-09-22,Toshiba,52700,1
2022-09-14,Toshiba,52101,1
2022-09-11,Toshiba,52105,3
2022-08-31,Toshiba,52103,2
2022-09-02,Toshiba,52106,5
2022-09-10,Toshiba,52105,4
2022-09-13,Toshiba,52102,1
2022-09-09,Toshiba,52105,3
2022-09-12,Toshiba,52104,3
2022-09-01,Toshiba,52106,2
2022-08-26,Toshiba,52107,1
2022-08-25,Toshiba,52103,2
2022-08-20,Toshiba,52106,5
2022-08-21,Toshiba,52104,4
2022-08-19,Toshiba,52105,1
2022-08-22,Toshiba,52102,1
2022-08-23,Toshiba,52104,2
2022-08-24,Toshiba,52103,3
2022-08-18,Toshiba,52101,6
2022-08-17,Toshiba,52082,8
2022-08-16,Toshiba,52106,5
2022-09-07,Toshiba,52105,1
2022-09-06,Toshiba,52104,0
2022-09-04,Toshiba,52106,1
2022-09-05,Toshiba,52105,0
2022-09-03,Toshiba,52105,2
2022-08-15,Toshiba,52105,2
2022-09-08,Toshiba,52104,2
2022-08-29,Toshiba,52104,3
2022-08-14,Toshiba,52105,3
2022-08-28,Toshiba,52106,4
2022-08-27,Toshiba,52106,1
2022-08-30,Toshiba,52103,2
2022-08-13,Toshiba,52104,2
2022-08-12,Toshiba,52103,2
2022-08-07,Toshiba,52039,1
2022-08-11,Toshiba,52042,2
2022-08-08,Toshiba,52098,1
2022-08-10,Toshiba,52040,0
2022-08-09,Toshiba,52007,0
2022-08-06,Toshiba,52039,0
2022-08-03,Toshiba,52037,3
2022-08-05,Toshiba,52038,0
2022-07-29,Toshiba,52037,0
2022-07-30,Toshiba,52039,1
2022-07-28,Toshiba,52036,2
2022-07-25,Toshiba,52034,0
2022-07-24,Toshiba,52034,1
2022-08-04,Toshiba,52039,2
2022-07-31,Toshiba,52038,1
2022-08-02,Toshiba,52038,1
2022-07-27,Toshiba,52033,3
2022-08-01,Toshiba,52038,2
2022-07-26,Toshiba,51977,5
2022-07-23,Toshiba,51974,1
2022-07-22,Toshiba,51972,2
2022-07-21,Toshiba,51826,1
2022-07-17,Toshiba,51829,1
2022-07-16,Toshiba,51827,2
2022-07-10,Toshiba,51830,0
2022-07-09,Toshiba,51828,2
2022-07-08,Toshiba,51827,2
2022-07-14,Toshiba,51825,0
2022-07-11,Toshiba,51830,4
2022-07-13,Toshiba,51823,7
2022-07-03,Toshiba,51829,0
2022-07-18,Toshiba,51829,1
2022-07-06,Toshiba,51826,1
2022-07-15,Toshiba,51827,3
2022-07-04,Toshiba,51828,0
2022-07-19,Toshiba,51828,8
2022-07-07,Toshiba,51826,1
2022-07-05,Toshiba,51828,3
2022-06-30,Toshiba,51828,0
2022-07-01,Toshiba,51828,2
2022-07-02,Toshiba,51828,0
2022-06-27,Toshiba,51830,0
2022-07-20,Toshiba,51820,4
2022-06-26,Toshiba,51830,0
2022-06-28,Toshiba,51830,0
2022-07-12,Toshiba,51826,4
2022-06-29,Toshiba,51768,1
2022-06-25,Toshiba,51829,1
2022-06-24,Toshiba,50628,3
2022-06-23,Toshiba,50625,1
2022-06-21,Toshiba,50627,5
2022-06-20,Toshiba,50629,1
2022-06-18,Toshiba,50629,2
2022-06-19,Toshiba,50629,0
2022-06-22,Toshiba,50622,2
2022-06-17,Toshiba,50109,1
2022-06-16,Toshiba,50109,2
2022-05-20,Toshiba,48900,3
2022-06-14,Toshiba,48909,3
2022-06-13,Toshiba,48910,1
2022-06-15,Toshiba,48909,2
2022-06-10,Toshiba,48910,1
2022-06-12,Toshiba,48909,0
2022-06-07,Toshiba,48909,4
2022-06-09,Toshiba,48910,1
2022-06-04,Toshiba,48905,0
2022-05-30,Toshiba,48905,0
2022-06-11,Toshiba,48909,0
2022-05-25,Toshiba,48904,3
2022-06-05,Toshiba,48905,2
2022-06-01,Toshiba,48905,2
2022-05-26,Toshiba,48903,0
2022-05-29,Toshiba,48905,1
2022-05-28,Toshiba,48904,0
2022-05-27,Toshiba,48903,0
2022-06-02,Toshiba,48904,0
2022-05-19,Toshiba,48899,1
2022-05-18,Toshiba,48898,1
2022-06-08,Toshiba,48905,2
2022-06-03,Toshiba,48906,5
2022-05-31,Toshiba,48845,1
2022-05-07,Toshiba,48900,2
2022-05-17,Toshiba,48902,3
2022-05-24,Toshiba,48901,1
2022-05-22,Toshiba,48899,2
2022-05-23,Toshiba,48901,1
2022-05-06,Toshiba,48899,6
2022-05-16,Toshiba,48898,10
2022-05-14,Toshiba,48898,4
2022-05-15,Toshiba,48896,3
2022-05-13,Toshiba,48899,1
2022-05-21,Toshiba,48899,2
2022-05-09,Toshiba,48898,3
2022-05-10,Toshiba,48896,4
2022-05-12,Toshiba,48837,0
2022-05-11,Toshiba,48838,3
2022-05-08,Toshiba,48898,0
2022-05-01,Toshiba,48378,0
2022-05-02,Toshiba,48378,2
2022-05-03,Toshiba,48376,0
2022-05-04,Toshiba,48378,2
2022-05-05,Toshiba,48379,2
2022-04-30,Toshiba,48380,0
2022-04-25,Toshiba,48385,2
2022-04-28,Toshiba,48382,3
2022-04-26,Toshiba,48385,3
2022-04-24,Toshiba,48383,2
2022-04-29,Toshiba,48382,2
2022-04-18,Toshiba,48388,1
2022-04-21,Toshiba,48383,3
2022-04-23,Toshiba,48382,2
2022-04-16,Toshiba,48383,2
2022-04-17,Toshiba,48386,1
2022-04-12,Toshiba,48386,4
2022-04-22,Toshiba,48382,1
2022-04-13,Toshiba,48384,2
2022-04-27,Toshiba,48381,0
2022-04-14,Toshiba,48385,4
2022-04-15,Toshiba,48382,0
2022-04-20,Toshiba,48383,1
2022-04-19,Toshiba,48389,3
2022-04-11,Toshiba,47944,0
2022-04-09,Toshiba,47943,3
2022-04-10,Toshiba,47940,1
2022-04-06,Toshiba,47944,4
2022-04-07,Toshiba,47942,0
2022-04-08,Toshiba,47941,2
2022-04-05,Toshiba,47942,1
2022-04-01,Toshiba,47972,1
2022-03-31,Toshiba,47971,0
2022-04-02,Toshiba,47945,1
2022-04-04,Toshiba,47944,2
2022-04-03,Toshiba,47944,2
2022-03-23,Toshiba,47973,3
2022-03-29,Toshiba,47972,2
2022-03-21,Toshiba,47972,0
2022-03-20,Toshiba,47971,4
2022-03-27,Toshiba,47947,2
2022-03-24,Toshiba,47976,3
2022-03-17,Toshiba,47975,4
2022-03-30,Toshiba,47972,3
2022-03-18,Toshiba,47972,3
2022-03-26,Toshiba,47948,2
2022-03-08,Toshiba,47973,1
2022-03-28,Toshiba,47947,1
2022-03-19,Toshiba,47972,0
2022-03-22,Toshiba,47972,1
2022-03-05,Toshiba,47970,4
2022-03-25,Toshiba,47949,2
2022-03-11,Toshiba,47945,1
2022-03-03,Toshiba,47969,1
2022-03-06,Toshiba,47970,3
2022-03-02,Toshiba,47971,1
2022-03-16,Toshiba,47975,3
2022-03-12,Toshiba,47973,3
2022-03-01,Toshiba,47970,0
2022-02-26,Toshiba,47971,1
2022-02-28,Toshiba,47969,2
2022-02-27,Toshiba,47971,5
2022-02-22,Toshiba,47974,1
2022-03-09,Toshiba,47974,3
2022-03-13,Toshiba,47912,3
2022-02-23,Toshiba,47975,3
2022-03-10,Toshiba,47947,2
2022-03-14,Toshiba,47913,0
2022-02-24,Toshiba,47974,0
2022-02-25,Toshiba,47974,0
2022-03-15,Toshiba,47975,3
2022-03-04,Toshiba,47970,6
2022-03-07,Toshiba,47851,0
2022-02-21,Toshiba,47974,0
2022-02-20,Toshiba,47974,0
2022-02-19,Toshiba,47976,3
2022-02-18,Toshiba,47972,1
2022-02-16,Toshiba,47767,0
2022-02-12,Toshiba,47771,3
2022-02-13,Toshiba,47768,1
2022-02-17,Toshiba,47767,3
2022-02-10,Toshiba,47771,1
2022-02-15,Toshiba,47769,2
2022-02-14,Toshiba,47768,1
2022-02-11,Toshiba,47769,0
2022-02-09,Toshiba,47741,2
2022-02-08,Toshiba,47771,1
2022-02-07,Toshiba,47771,0
2022-02-06,Toshiba,47770,0
2022-02-05,Toshiba,47770,0
2022-02-04,Toshiba,47772,3
2022-02-03,Toshiba,47771,1
2022-02-02,Toshiba,47773,1
